Product Name,Version No,Size,Update Date,Download Times,Download Link,url,date,Device Model,ColorOS Version,region_url
OPPO Reno2 F,CPH1989EX_11_C.20,2.91 GB,2021/05/10,"1,611",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_1200_all_f5jdg3ZRx4WG.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2021-05-10,CPH1989EX,11,https://support.oppo.com/dz/software-update/
OPPO Reno2 F,CPH1989EX_11_C.19,2.87 GB,2021/03/11,"1,246",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_1190_all_BNmwe83KIV98.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2021-03-11,CPH1989EX,11,https://support.oppo.com/dz/software-update/
OPPO Reno2 F,CPH1989EX_11_C.17,2.83 GB,2020/12/18,"7,092",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_1170_all_UYw3OL95EtlM.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2020-12-18,CPH1989EX,11,https://support.oppo.com/dz/software-update/
OPPO Reno2 F,CPH1989EX_11_C.15,2.82 GB,2020/10/15,"5,344",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_1150_all_HcOBVqySu4QL.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2020-10-15,CPH1989EX,11,https://support.oppo.com/dz/software-update/
OPPO Reno2 F,CPH1989_11_A.18,2.6 GB,2020/08/18,"3,986",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_0180_all_hzB4QMDBLuVP.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2020-08-18,CPH1989,11,https://support.oppo.com/dz/software-update/
OPPO Reno2 F,CPH1989EX_11_A.11_191127,2.48 GB,2020/01/03,"15,751",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_0110_all_td6UDIiGO5hf.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2020-01-03,CPH1989EX,11,https://support.oppo.com/dz/software-update/
OPPO Reno2 F,CPH1989EX_11_A.10_191031,2.4 GB,2019/11/05,"2,032",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_0100_all_Ya2349XbZE0f.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2019-11-05,CPH1989EX,11,https://support.oppo.com/dz/software-update/
OPPO Reno2 F,CPH1989EX_11_A.08_190924,2.45 GB,2019/10/14,"1,965",https://assorted.downloads.oppo.com/firmware/CPH1989/CPH1989EX_11_OTA_0080_all_lczXHiTBHMni.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno2%20F,2019-10-14,CPH1989EX,11,https://support.oppo.com/dz/software-update/
OPPO Reno3,CPH2043_11_A.33,3.31 GB,2021/01/05,"3,381",https://assorted.downloads.oppo.com/firmware/CPH2035/CPH2035PU_11_OTA_0330_all_3Dv7Aar7nmWm.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno3,2021-01-05,CPH2043,11,https://support.oppo.com/dz/software-update/
OPPO Reno3,CPH2043_11_A.27,3.3 GB,2020/11/07,"3,032",https://assorted.downloads.oppo.com/firmware/CPH2035/CPH2035PU_11_OTA_0270_all_NKxyZ5YiyHsb.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno3,2020-11-07,CPH2043,11,https://support.oppo.com/dz/software-update/
OPPO Reno3,CPH2043_11_A.25,3.28 GB,2020/09/25,"1,720",https://assorted.downloads.oppo.com/firmware/CPH2035/CPH2035PU_11_OTA_0250_all_0bx098hpNHUr.ozip,https://support.oppo.com/dz/software-update/software-download/?m=Reno3,2020-09-25,CPH2043,11,https://support.oppo.com/dz/software-update/
