filename,file_path,first_12_bytes,file_extension,google_patch,identifier
CPH1609EX_11_OTA_0330_all_202108090923.ozip,/Volumes/Expansion/Oppo/2_https___assorted.downloads.oppo.com_firmware_F3_CPH1609EX_11_OTA_0330_all_202108090923.ozip/CPH1609EX_11_OTA_0330_all_202108090923.ozip,OPPOENCRYPT!,ozip,NotFound,2
CPH1979EX_11_OTA_1260_all_djMChpDK8cK5.ozip,/Volumes/Expansion/Oppo/3_https___assorted.downloads.oppo.com_firmware_CPH1979_CPH1979EX_11_OTA_1260_all_djMChpDK8cK5.ozip/CPH1979EX_11_OTA_1260_all_djMChpDK8cK5.ozip,PK,ozip,NotFound,3
CPH1907EUEX_11_OTA_0420_all_bDj6EUd5kD2y.ozip,/Volumes/Expansion/Oppo/4_https___assorted.downloads.oppo.com_firmware_CPH1907_CPH1907EUEX_11_OTA_0420_all_bDj6EUd5kD2y.ozip/CPH1907EUEX_11_OTA_0420_all_bDj6EUd5kD2y.ozip,OPPOENCRYPT!,ozip,20200605,4
CPH2023EU_11_OTA_0800_all_7bEWPPACXHRm.ozip,/Volumes/Expansion/Oppo/5_https___assorted.downloads.oppo.com_firmware_CPH2023_CPH2023EU_11_OTA_0800_all_7bEWPPACXHRm.ozip/CPH2023EU_11_OTA_0800_all_7bEWPPACXHRm.ozip,OPPOENCRYPT!,ozip,20200705,5
CPH2023EU_11_OTA_0960_all_paW2K1vjCOOi.ozip,/Volumes/Expansion/Oppo/6_https___assorted.downloads.oppo.com_firmware_CPH2023_CPH2023EU_11_OTA_0960_all_paW2K1vjCOOi.ozip/CPH2023EU_11_OTA_0960_all_paW2K1vjCOOi.ozip,OPPOENCRYPT!,ozip,20201005,6
CPH2083EUEX_11_OTA_0340_all_A0clKgxe5TsL.ozip,/Volumes/Expansion/Oppo/7_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0340_all_A0clKgxe5TsL.ozip/CPH2083EUEX_11_OTA_0340_all_A0clKgxe5TsL.ozip,PK,ozip,NotFound,7
CPH2083EUEX_11_OTA_0660_all_b0keXbuDhuWX.ozip,/Volumes/Expansion/Oppo/8_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0660_all_b0keXbuDhuWX.ozip/CPH2083EUEX_11_OTA_0660_all_b0keXbuDhuWX.ozip,PK,ozip,NotFound,8
CPH2001EUEX_11_OTA_1440_all_g5CsYVelmZAq.ozip,/Volumes/Expansion/Oppo/9_https___assorted.downloads.oppo.com_firmware_CPH2001_CPH2001EUEX_11_OTA_1440_all_g5CsYVelmZAq.ozip/CPH2001EUEX_11_OTA_1440_all_g5CsYVelmZAq.ozip,PK,ozip,NotFound,9
CPH1979EX_11_OTA_1270_all_MTxEibzZ01nY.ozip,/Volumes/Expansion/Oppo/10_https___assorted.downloads.oppo.com_firmware_CPH1979_CPH1979EX_11_OTA_1270_all_MTxEibzZ01nY.ozip/CPH1979EX_11_OTA_1270_all_MTxEibzZ01nY.ozip,PK,ozip,NotFound,10
CPH1945EUEX_11_OTA_1220_all_7DVbzktVokHF.ozip,/Volumes/Expansion/Oppo/11_https___assorted.downloads.oppo.com_firmware_CPH1945_CPH1945EUEX_11_OTA_1220_all_7DVbzktVokHF.ozip/CPH1945EUEX_11_OTA_1220_all_7DVbzktVokHF.ozip,OPPOENCRYPT!,ozip,20200505,11
CPH2023EU_11_OTA_0600_all_BJR5tykXwp3S.ozip,/Volumes/Expansion/Oppo/12_https___assorted.downloads.oppo.com_firmware_CPH2023_CPH2023EU_11_OTA_0600_all_BJR5tykXwp3S.ozip/CPH2023EU_11_OTA_0600_all_BJR5tykXwp3S.ozip,OPPOENCRYPT!,ozip,20200305,12
CPH2001EUEX_11_OTA_0340_all_h35xK7tMFUtU.ozip,/Volumes/Expansion/Oppo/13_https___assorted.downloads.oppo.com_firmware_CPH2001_CPH2001EUEX_11_OTA_0340_all_h35xK7tMFUtU.ozip/CPH2001EUEX_11_OTA_0340_all_h35xK7tMFUtU.ozip,OPPOENCRYPT!,ozip,20200605,13
CPH2001EUEX_11_OTA_0360_all_akLWweX1oYZc.ozip,/Volumes/Expansion/Oppo/14_https___assorted.downloads.oppo.com_firmware_CPH2001_CPH2001EUEX_11_OTA_0360_all_akLWweX1oYZc.ozip/CPH2001EUEX_11_OTA_0360_all_akLWweX1oYZc.ozip,OPPOENCRYPT!,ozip,20200705,14
CPH1945EUEX_11_OTA_0240_all_ynFYKXSelPxy.ozip,/Volumes/Expansion/Oppo/15_https___assorted.downloads.oppo.com_firmware_CPH1945_CPH1945EUEX_11_OTA_0240_all_ynFYKXSelPxy.ozip/CPH1945EUEX_11_OTA_0240_all_ynFYKXSelPxy.ozip,OPPOENCRYPT!,ozip,20200505,15
CPH1951EUEX_11_OTA_0260_all_T6hnBttPMOrF.ozip,/Volumes/Expansion/Oppo/16_https___assorted.downloads.oppo.com_firmware_CPH1951_CPH1951EUEX_11_OTA_0260_all_T6hnBttPMOrF.ozip/CPH1951EUEX_11_OTA_0260_all_T6hnBttPMOrF.ozip,OPPOENCRYPT!,ozip,20200605,16
CPH1951EUEX_11_OTA_1380_all_ZYIMlaCVZ7Pn.ozip,/Volumes/Expansion/Oppo/17_https___assorted.downloads.oppo.com_firmware_CPH1951_CPH1951EUEX_11_OTA_1380_all_ZYIMlaCVZ7Pn.ozip/CPH1951EUEX_11_OTA_1380_all_ZYIMlaCVZ7Pn.ozip,OPPOENCRYPT!,ozip,20201005,17
CPH1951EUEX_11_OTA_1400_all_ELXBuaQVgLMD.ozip,/Volumes/Expansion/Oppo/18_https___assorted.downloads.oppo.com_firmware_CPH1951_CPH1951EUEX_11_OTA_1400_all_ELXBuaQVgLMD.ozip/CPH1951EUEX_11_OTA_1400_all_ELXBuaQVgLMD.ozip,OPPOENCRYPT!,ozip,20201105,18
CPH1951EUEX_11_OTA_1480_all_dyJHJ3akbUpq.ozip,/Volumes/Expansion/Oppo/19_https___assorted.downloads.oppo.com_firmware_CPH1951_CPH1951EUEX_11_OTA_1480_all_dyJHJ3akbUpq.ozip/CPH1951EUEX_11_OTA_1480_all_dyJHJ3akbUpq.ozip,OPPOENCRYPT!,ozip,20210505,19
CPH2023EU_11_OTA_0740_all_9g7Y4CVkFI9d.ozip,/Volumes/Expansion/Oppo/20_https___assorted.downloads.oppo.com_firmware_CPH2023_CPH2023EU_11_OTA_0740_all_9g7Y4CVkFI9d.ozip/CPH2023EU_11_OTA_0740_all_9g7Y4CVkFI9d.ozip,OPPOENCRYPT!,ozip,20200605,20
CPH1819EX_11_OTA_0360_all_mRpEpeJnjBF6.ozip,/Volumes/Expansion/Oppo/21_https___assorted.downloads.oppo.com_firmware_CPH1819_CPH1819EX_11_OTA_0360_all_mRpEpeJnjBF6.ozip/CPH1819EX_11_OTA_0360_all_mRpEpeJnjBF6.ozip,OPPOENCRYPT!,ozip,NotFound,21
CPH2059PU_11_OTA_0490_all_C7TwrZs4H5Cf.ozip,/Volumes/Expansion/Oppo/22_https___assorted.downloads.oppo.com_firmware_CPH2059_CPH2059PU_11_OTA_0490_all_C7TwrZs4H5Cf.ozip/CPH2059PU_11_OTA_0490_all_C7TwrZs4H5Cf.ozip,PK,ozip,NotFound,22
CPH2083EUEX_11_OTA_0240_all_SNuPJWpXeZgn.ozip,/Volumes/Expansion/Oppo/23_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0240_all_SNuPJWpXeZgn.ozip/CPH2083EUEX_11_OTA_0240_all_SNuPJWpXeZgn.ozip,PK,ozip,NotFound,23
CPH2083EUEX_11_OTA_0440_all_omvBSiPvq2jf.ozip,/Volumes/Expansion/Oppo/24_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0440_all_omvBSiPvq2jf.ozip/CPH2083EUEX_11_OTA_0440_all_omvBSiPvq2jf.ozip,PK,ozip,NotFound,24
CPH2083EUEX_11_OTA_0480_all_V0IbL5b2Nh8Q.ozip,/Volumes/Expansion/Oppo/25_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0480_all_V0IbL5b2Nh8Q.ozip/CPH2083EUEX_11_OTA_0480_all_V0IbL5b2Nh8Q.ozip,PK,ozip,NotFound,25
CPH2083EUEX_11_OTA_0520_all_q3dekfYUvF2d.ozip,/Volumes/Expansion/Oppo/26_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0520_all_q3dekfYUvF2d.ozip/CPH2083EUEX_11_OTA_0520_all_q3dekfYUvF2d.ozip,PK,ozip,NotFound,26
CPH2083EUEX_11_OTA_0540_all_JCC1kFo46iL6.ozip,/Volumes/Expansion/Oppo/27_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0540_all_JCC1kFo46iL6.ozip/CPH2083EUEX_11_OTA_0540_all_JCC1kFo46iL6.ozip,PK,ozip,NotFound,27
CPH2083EUEX_11_OTA_0560_all_gLv5E54fNJtw.ozip,/Volumes/Expansion/Oppo/28_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0560_all_gLv5E54fNJtw.ozip/CPH2083EUEX_11_OTA_0560_all_gLv5E54fNJtw.ozip,PK,ozip,NotFound,28
CPH2083EUEX_11_OTA_0620_all_ZG3cDnJFrd4K.ozip,/Volumes/Expansion/Oppo/29_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0620_all_ZG3cDnJFrd4K.ozip/CPH2083EUEX_11_OTA_0620_all_ZG3cDnJFrd4K.ozip,PK,ozip,NotFound,29
CPH2083EUEX_11_OTA_0640_all_Fpc1kkmjvCCi.ozip,/Volumes/Expansion/Oppo/30_https___assorted.downloads.oppo.com_firmware_CPH2083_CPH2083EUEX_11_OTA_0640_all_Fpc1kkmjvCCi.ozip/CPH2083EUEX_11_OTA_0640_all_Fpc1kkmjvCCi.ozip,PK,ozip,NotFound,30
