phone,monthly_start,monthly_end,quarterly_start,quarterly_end,others_start,others_end,model_name,model_number,model_name_v2,monthly_duration,quarterly_duration
Find X2（CPH2023、CPH1921）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,,,Find X2,CPH2023、CPH1921,Find X2,147.0,
Find X2 Pro（CPH2025）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,,,Find X2 Pro,CPH2025,Find X2 Pro,147.0,
Find X3（PEDM00）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,2021-01-21 17:16:59,2022-06-09 07:23:31,Find X3,PEDM00,Find X3,147.0,
Find X3 Neo（CPH2207）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,2021-01-21 17:16:59,2022-06-09 07:23:31,Find X3 Neo,CPH2207,Find X3 Neo,147.0,
Find X3 Pro（PEEM00、CPH2173、CPH2305）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,,,Find X3 Pro,PEEM00、CPH2173、CPH2305,Find X3 Pro,147.0,
Find X5（PFFM10、CPH2307）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,,,Find X5,PFFM10、CPH2307,Find X5,147.0,
Find X5 Pro(PFFM20、PFEM10、CPH2305）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,,,Find X5 Pro(PFFM20、PFEM10、CPH2305）,,Find X5 Pro,147.0,
Find X5 Lite（CPH2371）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,,,Find X5 Lite,CPH2371,Find X5 Lite,147.0,
Find N（PEUM00）,2022-10-11 18:51:30,2023-03-07 19:24:15,,,,,Find N,PEUM00,Find N,147.0,
Find N2(PGU110、CPH2437),2022-10-11 18:51:30,2023-03-07 19:24:15,,,2022-10-11 18:51:30,2023-03-07 19:24:15,Find N2(PGU110、CPH2437),,Find N2,147.0,
Find X2 Lite（CPH2005）,2021-01-21 17:16:59,2022-06-09 07:23:31,2022-10-11 18:51:30,2023-03-07 19:24:15,2021-01-21 17:16:59,2022-06-09 07:23:31,Find X2 Lite,CPH2005,Find X2 Lite,503.0,147.0
Find X2 Neo（CPH2009）,2021-01-21 17:16:59,2022-06-09 07:23:31,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Find X2 Neo,CPH2009,Find X2 Neo,503.0,147.0
Find X2（PDEM10、PDET10）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Find X2,PDEM10、PDET10,Find X2,,147.0
Find X2 Pro（PDEM30）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Find X2 Pro,PDEM30,Find X2 Pro,,147.0
Find X3 Pro（OPG03）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Find X3 Pro,OPG03,Find X3 Pro,,147.0
Reno Ace（PCLM10）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno Ace,PCLM10,Reno Ace,,775.0
Reno Ace2（PDHM00）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno Ace2,PDHM00,Reno Ace2,,775.0
Reno 10x Zoom（PCCM00、PCCT00、CPH1919）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Reno 10x Zoom,PCCM00、PCCT00、CPH1919,Reno 10x Zoom,,147.0
Reno Z（PCDM10、PCDT10、CPH1979）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno Z,PCDM10、PCDT10、CPH1979,Reno Z,,775.0
Reno2（PCKM00、CPH1907）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno2,PCKM00、CPH1907,Reno2,,775.0
Reno2 F（CPH1989）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,2021-01-21 17:16:59,2022-06-09 07:23:31,Reno2 F,CPH1989,Reno2 F,,775.0
Reno2 Z（PCKM80、CPH1945、CPH1951）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Reno2 Z,PCKM80、CPH1945、CPH1951,Reno2 Z,,147.0
Reno3（CPH2043、PCRT01）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Reno3,CPH2043、PCRT01,Reno3,,147.0
Reno3 5G（PDCM00、PCLM50、A001OP）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Reno3 5G,PDCM00、PCLM50、A001OP,Reno3 5G,,147.0
Reno3 A（CPH2013、A002OP）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno3 A,CPH2013、A002OP,Reno3 A,,775.0
Reno3 Pro（CPH2035、CPH2036、CPH2037、CPH2009）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno3 Pro,CPH2035、CPH2036、CPH2037、CPH2009,Reno3 Pro,,775.0
Reno3 Pro 5G（PCRM00）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno3 Pro 5G,PCRM00,Reno3 Pro 5G,,775.0
Reno4（CPH2113、CPH2109）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Reno4,CPH2113、CPH2109,Reno4,,147.0
Reno4 5G（PDPM00、PDPT00、CPH2091）,,,2022-10-11 18:51:30,2023-03-07 19:24:15,,,Reno4 5G,PDPM00、PDPT00、CPH2091,Reno4 5G,,147.0
Reno4 F（CPH2209）,,,2021-01-21 17:16:59,2023-03-07 19:24:15,,,Reno4 F,CPH2209,Reno4 F,,775.0
