CSC,carrier/country,country,carrier,iso_code,region,subregion
3IE, Ireland (Three),Ireland,Three,IRL,Europe,Northern Europe
ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,USA,Americas,Northern America
ACR, Saudi Arabia,Saudi Arabia,No-carrier,SAU,Asia,Western Asia
AFG, Afghanistan,Afghanistan,No-carrier,AFG,Asia,Southern Asia
AFR, Kenya,Kenya,No-carrier,KEN,Africa,Sub-Saharan Africa
AIO, USA (Cricket),USA,Cricket,USA,Americas,Northern America
ALE, Ecuador,Ecuador,No-carrier,ECU,Americas,Latin America and the Caribbean
AMN, Spain (Orange),Spain,Orange,ESP,Europe,Southern Europe
AMO, Spain (Orange),Spain,Orange,ESP,Europe,Southern Europe
ANC, Argentina,Argentina,No-carrier,ARG,Americas,Latin America and the Caribbean
ANP, Ireland,Ireland,No-carrier,IRL,Europe,Northern Europe
ARO, Argentina,Argentina,No-carrier,ARG,Americas,Latin America and the Caribbean
ATL, Spain (Vodafone),Spain,Vodafone,ESP,Europe,Southern Europe
ATO, Austria (Open),Austria,Open,AUT,Europe,Western Europe
ATT, USA (AT&T),USA,AT&T,USA,Americas,Northern America
AUT, Switzerland,Switzerland,No-carrier,CHE,Europe,Western Europe
AVF, Albania (Vodafone),Albania,Vodafone,ALB,Europe,Southern Europe
BAT, Mexico,Mexico,No-carrier,MEX,Americas,Latin America and the Caribbean
BGL, Bulgaria,Bulgaria,No-carrier,BGR,Europe,Eastern Europe
BHT, Bosnia and Herzegovina (BH TELECOM),Bosnia and Herzegovina,BH TELECOM,BIH,Europe,Southern Europe
BMC, Canada (Bell Mobile),Canada,Bell Mobile,CAN,Americas,Northern America
BNG, Bangladesh,Bangladesh,No-carrier,BGD,Asia,Southern Asia
BOG, France (Bouygues),France,Bouygues,FRA,Europe,Western Europe
BRI, Taiwan,Taiwan,No-carrier,TWN,Asia,Eastern Asia
BST, USA (Boost Mobile),USA,Boost Mobile,USA,Americas,Northern America
BTC, Libya,Libya,No-carrier,LBY,Africa,Northern Africa
BTU, United Kingdom,United Kingdom,No-carrier,GBR,Europe,Northern Europe
BVO, Bolivia,Bolivia,No-carrier,BOL,Americas,Latin America and the Caribbean
BVT, Bolivia,Bolivia,No-carrier,BOL,Americas,Latin America and the Caribbean
BVV, Bolivia,Bolivia,No-carrier,BOL,Americas,Latin America and the Caribbean
BWA, Canada (SaskTel),Canada,SaskTel,CAN,Americas,Northern America
CAC, Uzbekistan,Uzbekistan,No-carrier,UZB,Asia,Central Asia
CAM, Cambodia,Cambodia,No-carrier,KHM,Asia,South-eastern Asia
CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,
CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,USA,Americas,Northern America
CDR, Dominican Republic,Dominican Republic,No-carrier,DOM,Americas,Latin America and the Caribbean
CEL, Israel (Cellcom),Israel,Cellcom,ISR,Asia,Western Asia
CGU, Guatemala (Tigo),Guatemala,Tigo,GTM,Americas,Latin America and the Caribbean
CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,USA,Americas,Northern America
CHC, China (Open China),China,Open China,CHN,Asia,Eastern Asia
CHE, Chile (Entel PCS),Chile,Entel PCS,CHL,Americas,Latin America and the Caribbean
CHL, Chile (Claro),Chile,Claro,CHL,Americas,Latin America and the Caribbean
CHM, China (China Mobile),China,China Mobile,CHN,Asia,Eastern Asia
CHN, China,China,No-carrier,CHN,Asia,Eastern Asia
CHO, Chile,Chile,No-carrier,CHL,Americas,Latin America and the Caribbean
CHR, Canada (Chatr Mobile),Canada,Chatr Mobile,CAN,Americas,Northern America
CHT, Chile (Telefonica),Chile,Telefonica,CHL,Americas,Latin America and the Caribbean
CHV, Chile (VTR),Chile,VTR,CHL,Americas,Latin America and the Caribbean
CHX, Chile (Nextel),Chile,Nextel,CHL,Americas,Latin America and the Caribbean
CNX, Romania (Vodafone),Romania,Vodafone,ROU,Europe,Eastern Europe
