id,device,last_android_version,last_update_date
SM-A047F/ACR,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/AFG,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/AFR,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/BOG,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/CAU,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/ECT,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/EGY,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/EVR,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/GLB,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/INS,Galaxy A04s,T(Android 13),2023-02-15
SM-A047F/KSA,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/LYS,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/MEO,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/MET,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/MID,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/MOT,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/MSR,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/MWD,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/O2C,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/PLS,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/PNG,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/PRT,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/SEK,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/SER,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/SFR,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/SIM,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/SKZ,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/SLK,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/THL,Galaxy A04s,T(Android 13),2023-02-10
SM-A047F/TIM,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/TOP,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/TUN,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/TUR,Galaxy A04s,T(Android 13),2023-02-21
SM-A047F/VFJ,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/VIP,Galaxy A04s,T(Android 13),2023-02-13
SM-A047F/XFA,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/XFE,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/XFV,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/XID,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/XME,Galaxy A04s,T(Android 13),2023-02-10
SM-A047F/XSA,Galaxy A04s,T(Android 13),2023-02-21
SM-A047F/XSG,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/XTC,Galaxy A04s,T(Android 13),2023-02-17
SM-A047F/XXV,Galaxy A04s,T(Android 13),2023-02-17
SM-A047M/ARO,Galaxy A04s,T(Android 13),2023-02-17
SM-A047M/CDR,Galaxy A04s,T(Android 13),2023-02-17
SM-A047M/CGU,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/CHE,Galaxy A04s,S(Android 12),2022-12-14
SM-A047M/CHL,Galaxy A04s,S(Android 12),2022-12-14
SM-A047M/CHO,Galaxy A04s,S(Android 12),2022-12-14
SM-A047M/CHT,Galaxy A04s,S(Android 12),2022-12-13
SM-A047M/CHX,Galaxy A04s,S(Android 12),2022-12-14
SM-A047M/COB,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/COL,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/COM,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/COO,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/CTI,Galaxy A04s,T(Android 13),2023-02-08
SM-A047M/CTP,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/CTU,Galaxy A04s,T(Android 13),2023-02-17
SM-A047M/DOR,Galaxy A04s,T(Android 13),2023-03-10
SM-A047M/EBE,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/ECO,Galaxy A04s,T(Android 13),2023-02-14
SM-A047M/EON,Galaxy A04s,T(Android 13),2023-02-14
SM-A047M/IUS,Galaxy A04s,S(Android 12),2023-02-13
SM-A047M/MXO,Galaxy A04s,S(Android 12),2023-02-13
SM-A047M/PET,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/PGU,Galaxy A04s,T(Android 13),2023-03-10
SM-A047M/PNT,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/PSN,Galaxy A04s,T(Android 13),2023-02-17
SM-A047M/PSP,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/SAM,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/TCE,Galaxy A04s,S(Android 12),2023-01-27
SM-A047M/TGP,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/TMM,Galaxy A04s,S(Android 12),2023-02-13
SM-A047M/TPA,Galaxy A04s,T(Android 13),2023-02-15
SM-A047M/UFN,Galaxy A04s,T(Android 13),2023-02-17
SM-A047M/UFU,Galaxy A04s,T(Android 13),2023-02-17
SM-A047M/UPO,Galaxy A04s,T(Android 13),2023-03-02
SM-A047M/UYO,Galaxy A04s,T(Android 13),2023-02-17
SM-A127M/ALE,Galaxy A12,T(Android 13),2023-02-20
SM-A127M/ANC,Galaxy A12,T(Android 13),2023-02-28
SM-A127M/ARO,Galaxy A12,T(Android 13),2023-03-02
SM-A127M/BAT,Galaxy A12,T(Android 13),2023-03-02
SM-A127M/BVO,Galaxy A12,T(Android 13),2023-02-16
SM-A127M/BVT,Galaxy A12,R(Android 11),2021-11-04
SM-A127M/CDR,Galaxy A12,T(Android 13),2023-03-02
SM-A127M/CGU,Galaxy A12,T(Android 13),2023-02-24
SM-A127M/CHE,Galaxy A12,T(Android 13),2023-02-23
SM-A127M/CHL,Galaxy A12,S(Android 12),2023-02-09
SM-A127M/CHO,Galaxy A12,T(Android 13),2023-03-06
SM-A127M/CHT,Galaxy A12,T(Android 13),2023-02-27
SM-A127M/CHX,Galaxy A12,T(Android 13),2023-02-28
SM-A127M/COB,Galaxy A12,T(Android 13),2023-02-16
SM-A127M/COL,Galaxy A12,T(Android 13),2023-02-16
SM-A127M/COM,Galaxy A12,T(Android 13),2023-02-17
SM-A127M/COO,Galaxy A12,T(Android 13),2023-02-16
SM-A127M/CPA,Galaxy A12,T(Android 13),2023-03-02
SM-A127M/CRC,Galaxy A12,T(Android 13),2023-03-02
SM-A127M/CTI,Galaxy A12,T(Android 13),2023-03-02
