codename,name,last_android_version,last_update_date
HM2013022,Redmi 1 TD,4.4,2017-11-15
HM2013023,Redmi 1 W,4.4,2018-09-26
HM2013023_sg_global,Redmi 1 W,4.4,2015-12-24
HM2014011,Redmi 1S TD 3G,4.4,2018-09-07
HM2014501,Redmi 1S TD 4G,4.4,2018-09-07
HM2014811,Redmi 2 LTE,4.4,2015-10-17
HM2014813,Redmi 2 LTE,4.4,2015-03-29
agate_eea_global,Xiaomi 11T,13.0,2023-03-27
agate_global,Xiaomi 11T,13.0,2023-03-27
agate_id_global,Xiaomi 11T,13.0,2023-05-16
agate_ru_global,Xiaomi 11T,13.0,2023-05-22
agate_tr_global,Xiaomi 11T,13.0,2023-05-29
agate_tw_global,Xiaomi 11T,13.0,2023-03-28
alioth,Redmi K40,13.0,2023-06-16
alioth_eea_global,POCO F3,13.0,2023-06-05
alioth_global,POCO F3,13.0,2023-06-05
alioth_id_global,POCO F3,13.0,2023-06-06
alioth_in_global,Mi 11X,13.0,2023-04-13
alioth_ru_global,POCO F3,13.0,2023-05-11
alioth_tr_global,POCO F3,13.0,2023-06-02
alioth_tw_global,POCO F3,13.0,2023-05-31
andromeda,Mi MIX 3 5G,9.0,2019-11-22
andromeda_eea_global,Mi MIX 3 5G,9.0,2021-05-31
andromeda_global,Mi MIX 3 5G,9.0,2021-03-29
angelica_eea_global,Redmi 9C,10.0,2022-08-22
angelica_global,Redmi 9C,10.0,2023-04-13
angelica_id_global,Redmi 9C,11.0,2022-08-30
angelica_tr_global,Redmi 9C,10.0,2022-09-30
angelicain_in_global,POCO C3,10.0,2022-09-06
angelicain_in_rf_global,POCO C31,11.0,2023-05-15
angelican_eea_global,Redmi 9C NFC,10.0,2022-08-25
angelican_global,Redmi 9C NFC,10.0,2022-10-10
angelican_ru_global,Redmi 9C NFC,11.0,2022-08-30
apollo,Redmi K30S Ultra,12.0,2023-03-08
apollo_eea_global,Mi 10T / Mi 10T Pro,12.0,2023-03-22
apollo_global,Mi 10T / Mi 10T Pro,12.0,2023-03-31
apollo_id_global,Mi 10T / Mi 10T Pro,12.0,2023-04-13
apollo_in_global,Mi 10T / Mi 10T Pro,12.0,2023-05-22
apollo_ru_global,Mi 10T / Mi 10T Pro,12.0,2023-04-06
apollo_tr_global,Mi 10T / Mi 10T Pro,12.0,2023-04-11
apollo_tw_global,Mi 10T / Mi 10T Pro,12.0,2023-04-23
aqua,MI 4S,7.0,2018-11-08
ares,Redmi K40 Gaming,13.0,2023-04-21
ares_in_global,POCO F3 GT,13.0,2023-05-10
aries,MI 2S,5.0,2018-10-14
aries_global,MI 2S,5.0,2018-10-14
armani,Redmi 1S,4.4,2018-09-07
armani_global,Redmi 1S,4.4,2018-09-09
atom,Redmi 10X 5G,12.0,2023-02-16
begonia,Redmi Note 8 Pro,11.0,2022-06-13
begonia_eea_global,Redmi Note 8 Pro,11.0,2022-09-16
begonia_global,Redmi Note 8 Pro,11.0,2022-06-06
begonia_id_global,Redmi Note 8 Pro,11.0,2022-06-13
begonia_ru_global,Redmi Note 8 Pro,11.0,2022-07-20
begoniain_in_global,Redmi Note 8 Pro,11.0,2022-07-07
beryllium_global,POCO F1,10.0,2021-01-11
beryllium_ru_global,POCO F1,10.0,2021-01-29
biloba_eea_global,Redmi Note 8 (2021),13.0,2023-04-11
biloba_global,Redmi Note 8 (2021),13.0,2023-05-17
biloba_ru_global,Redmi Note 8 (2021),13.0,2023-04-19
bomb,Redmi 10X Pro,12.0,2023-02-21
cactus,Redmi 6A,9.0,2021-06-18
cactus_global,Redmi 6A,9.0,2020-09-22
cactus_ru_global,Redmi 6A,9.0,2020-07-13
camellia,Redmi Note 10 5G / Redmi Note 11SE,13.0,2023-03-17
camellia_in_global,Redmi Note 10T 5G / POCO M3 Pro 5G,13.0,2023-05-10
camellian_eea_global,Redmi Note 10 5G,13.0,2023-04-06
camellian_global,Redmi Note 10 5G,13.0,2023-05-23
camellian_id_global,Redmi Note 10 5G,13.0,2023-05-18
camellian_ru_global,Redmi Note 10T / POCO M3 Pro,13.0,2023-05-22
camellian_tr_global,Redmi Note 10 5G,13.0,2023-05-24
camellian_tw_global,Redmi Note 10 5G,13.0,2023-05-22
cancro,MI 3 / Mi 4,6.0,2018-11-07
cancro_global,MI 3 / Mi 4,6.0,2018-10-14
cancro_lte_ct,MI 4 LTE CT,6.0,2018-10-14
cannon,Redmi Note 9 5G,12.0,2023-03-14
cannong_eea_global,Redmi Note 9T,12.0,2023-04-11
cannong_global,Redmi Note 9T,12.0,2023-04-17
cannong_ru_global,Redmi Note 9T,12.0,2023-05-17
cannong_tr_global,Redmi Note 9T,12.0,2023-05-17
cannong_tw_global,Redmi Note 9T,12.0,2023-05-17
cappu,Mi Pad 3,7.0,2019-08-30
capricorn,Mi 5s,8.0,2019-11-11
capricorn_global,Mi 5s,8.0,2019-06-28
cas,Mi 10 Ultra,13.0,2023-06-14
cattail_in_global,Redmi 9 / 9 Activ,10.0,2022-09-02
cepheus,Mi 9,11.0,2021-12-01
cepheus_eea_global,Mi 9,11.0,2021-11-26
cepheus_global,Mi 9,11.0,2021-06-17
cepheus_ru_global,Mi 9,11.0,2021-07-23
cereus,Redmi 6,9.0,2021-06-17
cereus_global,Redmi 6,9.0,2020-09-22
cereus_ru_global,Redmi 6,9.0,2020-09-19
cetus,Mi MIX Fold,13.0,2023-06-09
cezanne,Redmi K30 Ultra,12.0,2023-03-21
chiron,Mi MIX 2,9.0,2020-09-07
chiron_global,Mi MIX 2,9.0,2020-10-10
chopin,Redmi Note 10 Pro 5G,13.0,2023-04-25
chopin_global,POCO X3 GT,13.0,2023-05-22
chopin_id_global,POCO X3 GT,13.0,2023-05-16
chopin_tr_global,POCO X3 GT,13.0,2023-03-10
citrus_eea_global,POCO M3,12.0,2023-05-19
citrus_global,POCO M3,12.0,2023-04-07
citrus_id_global,POCO M3,12.0,2023-05-09
citrus_in_global,POCO M3,12.0,2023-05-09
citrus_ru_global,POCO M3,12.0,2023-05-10
citrus_tr_global,POCO M3,12.0,2023-04-28
citrus_tw_global,POCO M3,12.0,2023-05-06
clover,Mi Pad 4 (Plus),8.1,2019-08-29
cmi,Mi 10 Pro,13.0,2023-05-15
cmi_eea_global,Mi 10 Pro,13.0,2023-05-26
cmi_global,Mi 10 Pro,13.0,2023-05-26
courbet_eea_global,Mi 11 Lite 4G,13.0,2023-04-24
courbet_global,Mi 11 Lite 4G,13.0,2023-05-16
courbet_id_global,Mi 11 Lite 4G,13.0,2023-04-28
courbet_in_global,Mi 11 Lite 4G,13.0,2023-04-17
courbet_ru_global,Mi 11 Lite 4G,13.0,2023-04-07
courbet_tr_global,Mi 11 Lite 4G,13.0,2023-04-11
crux,Mi 9 Pro 5G,11.0,2022-04-11
cupid,Xiaomi 12,13.0,2023-06-09
cupid_eea_global,Xiaomi 12,13.0,2023-05-22
cupid_global,Xiaomi 12,13.0,2023-04-24
cupid_id_global,Xiaomi 12,13.0,2023-03-06
cupid_ru_global,Xiaomi 12,13.0,2023-03-21
