phone,monthly_start,monthly_end,quarterly_start,quarterly_end,biannually_start,biannually_end,wearable_start,wearable_end
Mi A3,2021-01-27 17:45:16,2022-10-31 17:52:22,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi A2,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,,,
Mi A2 Lite,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,,,
Mi 10T Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 10 T,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 10T Lite,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 10i,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 9T Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
MI PLAY,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 10,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 10 lite 5G,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 10 Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
MI 9,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 9 Lite,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
MI 9 SE,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi 9T,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi Note 10,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Mi Note 10 Lite,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
MIX 3,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
POCO C3,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
POCO F2 Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
POCO M2,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
POCO M2 Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
POCO X2,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
POCO X3,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
POCO X3 NFC,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 7A,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Go,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 7,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 7S,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 7 Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 10X 4G,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 7,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 8,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 8A,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 8A Dual,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 8A Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 9,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 9 Prime,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 9A,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 9AT,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 9i,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 9C,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi 9C NFC,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi K20,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi K20 Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 8,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 8 Pro,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 8T,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 9,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 9 Pro Max,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
Redmi Note 9S,,,2021-01-27 17:45:16,2022-10-31 17:52:22,,,,
